Date,USD Price,USD Open,USD High,USD Low,USD Vol.,USD Change %
6/3/2024,156.1,157.32,157.49,155.95,,-0.77%
5/31/2024,157.31,156.82,157.38,156.56,,0.32%
5/30/2024,156.81,157.63,157.68,156.38,,-0.50%
5/29/2024,157.6,157.15,157.79,156.92,,0.28%
5/28/2024,157.16,156.85,157.21,156.58,,0.19%
5/27/2024,156.86,157.04,157.04,156.66,,-0.08%
5/24/2024,156.99,156.93,157.16,156.82,,0.04%
5/23/2024,156.93,156.79,157.2,156.53,,0.10%
5/22/2024,156.77,156.16,156.85,156.11,,0.40%
5/21/2024,156.15,156.26,156.56,155.84,,-0.06%
5/20/2024,156.24,155.6,156.32,155.49,,0.38%
5/17/2024,155.65,155.4,156.01,155.24,,0.17%
5/16/2024,155.38,154.88,155.54,153.59,,0.33%
5/15/2024,154.87,156.43,156.57,154.69,,-0.99%
5/14/2024,156.42,156.18,156.77,156.15,,0.14%
5/13/2024,156.2,155.74,156.3,155.55,,0.31%
5/10/2024,155.72,155.47,155.92,155.26,,0.17%
5/9/2024,155.46,155.49,155.97,155.16,,-0.01%
5/8/2024,155.48,154.7,155.68,154.56,,0.51%
5/7/2024,154.69,153.9,154.77,153.86,,0.53%
5/6/2024,153.88,152.88,154.01,152.8,,0.59%
5/3/2024,152.98,153.65,153.8,151.86,,-0.42%
5/2/2024,153.63,154.93,156.29,153.05,,-0.54%
5/1/2024,154.47,157.81,158.04,153.18,,-2.11%
4/30/2024,157.8,156.35,157.85,156.07,,0.94%
4/29/2024,156.33,157.82,160.04,154.52,,-1.26%
4/26/2024,158.33,155.62,158.45,154.98,,1.72%
4/25/2024,155.65,155.32,155.76,155.2,,0.20%
4/24/2024,155.34,154.83,155.38,154.73,,0.34%
4/23/2024,154.82,154.85,154.88,154.55,,-0.01%
4/22/2024,154.84,154.63,154.88,154.46,,0.14%
4/19/2024,154.63,154.65,154.68,153.58,,0.00%
4/18/2024,154.63,154.38,154.71,153.96,,0.16%
4/17/2024,154.38,154.71,154.76,154.16,,-0.21%
4/16/2024,154.71,154.27,154.8,153.9,,0.29%
4/15/2024,154.27,153.09,154.46,152.99,,0.65%
4/12/2024,153.28,153.27,153.4,152.59,,0.01%
4/11/2024,153.27,153.16,153.33,152.76,,0.07%
4/10/2024,153.17,151.74,153.24,151.68,,0.92%
4/9/2024,151.77,151.8,151.95,151.57,,-0.01%
4/8/2024,151.79,151.57,151.96,151.56,,0.12%
4/5/2024,151.61,151.35,151.76,150.81,,0.19%
4/4/2024,151.33,151.71,151.79,151.12,,-0.23%
4/3/2024,151.68,151.56,151.96,151.44,,0.09%
4/2/2024,151.55,151.65,151.82,151.46,,-0.05%
4/1/2024,151.63,151.32,151.78,151.22,,0.21%
3/29/2024,151.31,151.38,151.51,151.17,,-0.04%
3/28/2024,151.37,151.32,151.55,151.15,,0.03%
3/27/2024,151.32,151.57,151.98,151.03,,-0.15%
3/26/2024,151.55,151.41,151.62,151.21,,0.09%
3/25/2024,151.41,151.44,151.55,151.04,,-0.01%
3/22/2024,151.42,151.65,151.87,151,,-0.13%
3/21/2024,151.61,151.26,151.8,150.26,,0.24%
3/20/2024,151.25,150.88,151.88,150.73,,0.27%
3/19/2024,150.85,149.16,150.97,149.03,,1.15%
3/18/2024,149.14,149.01,149.34,148.9,,0.08%
3/15/2024,149.02,148.35,149.2,148.03,,0.47%
3/14/2024,148.32,147.76,148.37,147.43,,0.39%
3/13/2024,147.74,147.7,148.06,147.23,,0.04%
3/12/2024,147.68,146.95,148.15,146.62,,0.50%
3/11/2024,146.94,147.07,147.18,146.48,,-0.09%
3/8/2024,147.07,148.04,148.12,146.48,,-0.65%
3/7/2024,148.03,149.35,149.4,147.58,,-0.90%
3/6/2024,149.37,150.04,150.1,149.09,,-0.45%
3/5/2024,150.04,150.52,150.63,149.7,,-0.31%
3/4/2024,150.51,150.1,150.65,149.83,,0.27%
3/1/2024,150.11,149.98,150.73,149.96,,0.09%
2/29/2024,149.98,150.7,150.7,149.21,,-0.46%
2/28/2024,150.67,150.51,150.85,150.37,,0.11%
2/27/2024,150.5,150.71,150.72,150.07,,-0.13%
2/26/2024,150.69,150.48,150.85,150.29,,0.13%
2/23/2024,150.5,150.54,150.79,150.29,,-0.01%
2/22/2024,150.51,150.31,150.7,150.01,,0.15%
2/21/2024,150.28,150.01,150.41,149.85,,0.19%
2/20/2024,149.99,150.13,150.45,149.68,,-0.08%
2/19/2024,150.11,150.1,150.24,149.87,,-0.07%
2/16/2024,150.21,149.93,150.65,149.82,,0.20%
2/15/2024,149.91,150.57,150.6,149.54,,-0.43%
2/14/2024,150.55,150.79,150.82,150.35,,-0.16%
2/13/2024,150.79,149.35,150.9,149.26,,0.97%
2/12/2024,149.34,149.24,149.49,148.93,,0.03%
2/9/2024,149.3,149.34,149.6,149.01,,-0.01%
2/8/2024,149.31,148.19,149.51,147.93,,0.76%
2/7/2024,148.18,147.96,148.29,147.63,,0.16%
2/6/2024,147.94,148.66,148.84,147.82,,-0.49%
2/5/2024,148.67,148.35,148.91,148.26,,0.20%
2/2/2024,148.37,146.43,148.6,146.24,,1.33%
2/1/2024,146.42,146.9,147.13,145.89,,-0.31%
1/31/2024,146.88,147.6,147.91,146.01,,-0.49%
1/30/2024,147.6,147.51,147.95,147.1,,0.07%
1/29/2024,147.49,148.12,148.34,147.25,,-0.45%
1/26/2024,148.16,147.63,148.23,147.41,,0.35%
1/25/2024,147.65,147.51,147.94,147.09,,0.10%
1/24/2024,147.5,148.35,148.4,146.65,,-0.58%
1/23/2024,148.36,148.1,148.73,146.99,,0.18%
1/22/2024,148.09,148.27,148.32,147.62,,-0.03%
1/19/2024,148.14,148.13,148.82,147.84,,-0.01%
1/18/2024,148.15,148.15,148.32,147.65,,0.00%
1/17/2024,148.15,147.21,148.54,147.07,,0.66%
1/16/2024,147.18,145.74,147.33,145.59,,0.99%
1/15/2024,145.73,144.91,145.96,144.87,,0.57%
1/12/2024,144.9,145.29,145.57,144.35,,-0.26%
1/11/2024,145.28,145.74,146.43,145.26,,-0.31%
1/10/2024,145.73,144.48,145.85,144.32,,0.87%
1/9/2024,144.47,144.27,144.64,143.42,,0.17%
1/8/2024,144.22,144.6,144.93,143.66,,-0.30%
1/5/2024,144.65,144.63,145.99,143.81,,0.02%
1/4/2024,144.62,143.29,144.87,142.85,,0.93%
1/3/2024,143.29,141.99,143.74,141.86,,0.92%
1/2/2024,141.98,140.88,142.23,140.81,,0.79%
1/1/2024,140.87,140.84,140.9,140.84,,-0.13%
12/29/2023,141.06,141.4,141.92,140.8,,-0.23%
12/28/2023,141.39,141.84,141.84,140.25,,-0.31%
12/27/2023,141.83,142.38,142.85,141.55,,-0.39%
12/26/2023,142.38,142.32,142.64,142.09,,0.03%
12/25/2023,142.34,142.4,142.55,142.13,,-0.05%
12/22/2023,142.41,142.12,142.68,141.88,,0.22%
12/21/2023,142.1,143.57,143.58,142.04,,-1.02%
12/20/2023,143.56,143.84,144.1,143.26,,-0.18%
12/19/2023,143.82,142.82,144.97,142.24,,0.76%
12/18/2023,142.74,142.15,143.16,142.07,,0.42%
12/15/2023,142.15,141.87,142.47,141.43,,0.20%
12/14/2023,141.87,142.89,142.9,140.96,,-0.71%
12/13/2023,142.88,145.45,146.01,142.64,,-1.75%
12/12/2023,145.43,146.13,146.2,144.74,,-0.50%
12/11/2023,146.16,144.85,146.59,144.8,,0.85%
12/8/2023,144.93,144.1,145.22,142.49,,0.56%
12/7/2023,144.12,147.29,147.32,141.71,,-2.17%
12/6/2023,147.31,147.18,147.52,146.89,,0.11%
12/5/2023,147.15,147.18,147.4,146.55,,-0.03%
12/4/2023,147.2,146.73,147.51,146.23,,0.27%
12/1/2023,146.81,148.21,148.35,146.66,,-0.93%
11/30/2023,148.19,147.24,148.51,146.84,,0.65%
11/29/2023,147.24,147.48,147.92,146.66,,-0.16%
11/28/2023,147.48,148.68,148.85,147.32,,-0.80%
11/27/2023,148.67,149.46,149.68,148.54,,-0.52%
11/24/2023,149.44,149.57,149.72,149.2,,-0.08%
11/23/2023,149.56,149.54,149.71,148.89,,0.02%
11/22/2023,149.53,148.4,149.76,148.01,,0.77%
11/21/2023,148.39,148.38,148.6,147.15,,0.02%
11/20/2023,148.36,149.65,150,148.1,,-0.84%
11/17/2023,149.62,150.71,150.79,149.2,,-0.72%
11/16/2023,150.71,151.35,151.49,150.28,,-0.42%
11/15/2023,151.35,150.37,151.46,150.05,,0.65%
11/14/2023,150.38,151.73,151.82,150.15,,-0.88%
11/13/2023,151.71,151.51,151.95,151.2,,0.14%
11/10/2023,151.5,151.35,151.62,151.21,,0.11%
11/9/2023,151.34,150.97,151.4,150.77,,0.25%
11/8/2023,150.97,150.35,151.07,150.34,,0.42%
11/7/2023,150.34,150.07,150.71,149.93,,0.18%
11/6/2023,150.07,149.38,150.09,149.24,,0.47%
11/3/2023,149.37,150.46,150.53,149.2,,-0.71%
11/2/2023,150.44,150.95,150.98,149.84,,-0.34%
11/1/2023,150.95,151.71,151.72,150.66,,-0.47%
10/31/2023,151.67,149.1,151.76,149.02,,1.72%
10/30/2023,149.1,149.54,149.93,148.8,,-0.33%
10/27/2023,149.6,150.38,150.43,149.46,,-0.52%
10/26/2023,150.38,150.21,150.79,149.9,,0.11%
10/25/2023,150.21,149.91,150.32,149.79,,0.20%
10/24/2023,149.91,149.72,149.94,149.32,,0.14%
10/23/2023,149.7,149.79,150.01,149.55,,-0.09%
10/20/2023,149.84,149.78,150.05,149.74,,0.04%
10/19/2023,149.78,149.93,150.01,149.66,,-0.09%
10/18/2023,149.92,149.82,149.99,149.49,,0.08%
10/17/2023,149.8,149.51,149.91,149.23,,0.20%
10/16/2023,149.5,149.49,149.79,149.35,,-0.03%
10/13/2023,149.55,149.79,149.84,149.45,,-0.17%
10/12/2023,149.8,149.16,149.88,148.95,,0.44%
10/11/2023,149.15,148.71,149.37,148.42,,0.30%
10/10/2023,148.7,148.55,149.13,148.16,,0.13%
10/9/2023,148.5,149.07,149.25,148.43,,-0.55%
10/6/2023,149.32,148.51,149.55,148.35,,0.55%
10/5/2023,148.5,149.12,149.13,148.26,,-0.42%
10/4/2023,149.12,149.02,149.33,148.73,,0.07%
10/3/2023,149.02,149.87,150.18,147.38,,-0.55%
10/2/2023,149.85,149.48,149.93,149.45,,0.33%
9/29/2023,149.35,149.31,149.52,148.52,,0.04%
9/28/2023,149.29,149.64,149.65,149.15,,-0.23%
9/27/2023,149.63,149.06,149.74,148.86,,0.39%
9/26/2023,149.05,148.91,149.21,148.7,,0.11%
9/25/2023,148.88,148.37,148.99,148.25,,0.34%
9/22/2023,148.37,147.57,148.46,147.51,,0.54%
9/21/2023,147.58,148.34,148.46,147.32,,-0.51%
9/20/2023,148.33,147.85,148.37,147.47,,0.32%
9/19/2023,147.86,147.6,147.98,147.5,,0.18%
9/18/2023,147.6,147.74,147.88,147.55,,-0.15%
9/15/2023,147.82,147.49,147.99,147.34,,0.24%
9/14/2023,147.47,147.46,147.58,147.01,,0.01%
9/13/2023,147.45,147.07,147.74,147.01,,0.25%
9/12/2023,147.08,146.59,147.26,146.45,,0.34%
9/11/2023,146.58,147.02,147.28,145.9,,-0.83%
9/8/2023,147.81,147.3,147.88,146.59,,0.35%
9/7/2023,147.29,147.66,147.88,147.04,,-0.24%
9/6/2023,147.65,147.74,147.82,147.01,,-0.04%
9/5/2023,147.71,146.49,147.82,146.4,,0.85%
9/4/2023,146.46,146.2,146.54,146.01,,0.16%
9/1/2023,146.23,145.54,146.32,144.44,,0.48%
8/31/2023,145.53,146.23,146.26,145.35,,-0.49%
8/30/2023,146.24,145.9,146.59,145.55,,0.25%
8/29/2023,145.87,146.55,147.38,145.67,,-0.46%
8/28/2023,146.54,146.43,146.75,146.26,,0.09%
8/25/2023,146.41,145.84,146.65,145.73,,0.37%
8/24/2023,145.87,144.84,145.97,144.59,,0.72%
8/23/2023,144.83,145.9,145.9,144.54,,-0.72%
8/22/2023,145.88,146.18,146.4,145.49,,-0.20%
8/21/2023,146.17,145.34,146.41,145.13,,0.55%
8/18/2023,145.37,145.86,145.88,144.93,,-0.32%
8/17/2023,145.83,146.35,146.57,145.62,,-0.36%
8/16/2023,146.35,145.59,146.42,145.3,,0.54%
8/15/2023,145.57,145.56,145.88,145.1,,0.02%
8/14/2023,145.54,144.99,145.6,144.66,,0.40%
8/11/2023,144.96,144.73,145.05,144.42,,0.16%
8/10/2023,144.73,143.73,144.83,143.29,,0.70%
8/9/2023,143.72,143.38,143.79,142.99,,0.24%
8/8/2023,143.37,142.48,143.51,142.4,,0.62%
8/7/2023,142.49,141.79,142.62,141.52,,0.52%
8/4/2023,141.75,142.57,142.89,141.55,,-0.55%
8/3/2023,142.54,143.33,143.9,142.06,,-0.54%
8/2/2023,143.32,143.34,143.49,142.24,,0.00%
8/1/2023,143.32,142.3,143.56,142.21,,0.73%
7/31/2023,142.28,141,142.69,140.69,,0.80%
7/28/2023,141.15,139.46,141.19,138.07,,1.23%
7/27/2023,139.44,140.23,141.34,138.77,,-0.55%
7/26/2023,140.21,140.9,141.19,139.93,,-0.49%
7/25/2023,140.9,141.47,141.74,140.85,,-0.38%
7/24/2023,141.44,141.68,141.82,140.74,,-0.25%
7/21/2023,141.79,140.08,141.97,139.75,,1.23%
7/20/2023,140.07,139.68,140.51,139.1,,0.29%
7/19/2023,139.67,138.84,140.01,138.76,,0.62%
7/18/2023,138.81,138.71,139.15,137.7,,0.07%
7/17/2023,138.71,138.76,139.42,138.01,,-0.01%
7/14/2023,138.73,138.01,139.18,137.24,,0.51%
7/13/2023,138.03,138.51,138.97,137.92,,-0.34%
7/12/2023,138.5,140.38,140.41,138.16,,-1.33%
7/11/2023,140.37,141.35,141.47,140.16,,-0.67%
7/10/2023,141.31,142.2,143.01,141.27,,-0.53%
7/7/2023,142.07,144.09,144.21,142.07,,-1.38%
7/6/2023,144.06,144.65,144.67,143.55,,-0.40%
7/5/2023,144.64,144.48,144.76,144.08,,0.13%
7/4/2023,144.45,144.71,144.72,144.21,,-0.15%
7/3/2023,144.66,144.37,144.96,143.98,,0.24%
6/30/2023,144.32,144.77,145.08,144.21,,-0.31%
6/29/2023,144.77,144.49,144.92,144.13,,0.21%
6/28/2023,144.46,144.04,144.63,143.73,,0.27%
6/27/2023,144.07,143.51,144.21,143.27,,0.40%
6/26/2023,143.5,143.57,143.73,142.94,,-0.13%
6/23/2023,143.68,143.1,143.93,142.76,,0.40%
6/22/2023,143.11,141.88,143.26,141.6,,0.87%
6/21/2023,141.88,141.48,142.41,141.27,,0.31%
6/20/2023,141.44,141.99,142.26,141.21,,-0.38%
6/19/2023,141.98,141.8,142.07,141.44,,0.11%
6/16/2023,141.82,140.32,141.92,139.85,,1.11%
6/15/2023,140.27,140.09,141.52,139.94,,0.13%
6/14/2023,140.09,140.21,140.28,139.28,,-0.09%
6/13/2023,140.21,139.6,140.32,139.01,,0.44%
6/12/2023,139.6,139.4,139.77,139.06,,0.19%
6/9/2023,139.34,138.93,139.74,138.75,,0.31%
6/8/2023,138.91,140.13,140.24,138.81,,-0.86%
6/7/2023,140.11,139.63,140.26,139.02,,0.34%
6/6/2023,139.63,139.55,140.01,139.09,,0.06%
6/5/2023,139.54,139.99,140.47,139.25,,-0.29%
6/2/2023,139.94,138.79,140.09,138.6,,0.83%
6/1/2023,138.79,139.35,139.96,138.46,,-0.39%
5/31/2023,139.34,139.8,140.39,139.23,,-0.32%
5/30/2023,139.79,140.45,140.95,139.57,,-0.46%
5/29/2023,140.44,140.68,140.92,140.11,,-0.13%
5/26/2023,140.62,140.06,140.74,139.49,,0.41%
5/25/2023,140.05,139.48,140.26,138.82,,0.42%
5/24/2023,139.46,138.59,139.49,138.23,,0.64%
